ProbeID,Country Code,Violation Timeframe
6673 , CA ," 2020-07-02 to 2020-07-02, 2020-07-16 to 2020-07-16, 2020-07-30 to 2020-08-06, 2020-10-01 to 2020-10-01, 2020-11-05 to 2020-12-17, 2021-02-05 to 2021-02-05, 2021-02-19 to 2021-02-26, 2021-03-12 to 2021-03-12, 2021-04-02 to 2021-06-11 "
55799 , US ," 2020-01-23 to 2020-07-16, 2020-07-30 to 2020-08-13, 2020-08-27 to 2020-09-03, 2020-09-17 to 2020-10-01, 2020-10-15 to 2020-12-03, 2021-04-23 to 2022-01-08 "
22782 , RU , 2020-10-01 to 2020-10-01 
1171 , US ," 2020-01-02 to 2020-02-20, 2020-03-19 to 2020-04-16, 2020-04-30 to 2020-06-11, 2020-06-25 to 2020-07-16, 2020-07-30 to 2020-07-30, 2020-09-17 to 2020-10-01, 2020-10-29 to 2021-04-16, 2021-05-21 to 2022-01-01, 2022-01-29 to 2022-05-14, 2022-06-04 to 2022-06-18 "
33991 , CI ," 2020-10-29 to 2021-01-22, 2021-02-05 to 2021-05-28 "
10587 , US ," 2020-04-02 to 2020-04-09, 2020-04-23 to 2020-05-14 "
10507 , US ," 2020-01-02 to 2022-06-11, 2022-07-09 to 2022-07-09, 2023-01-21 to 2024-03-30 "
54251 , US , 2020-01-09 to 2020-01-09 
53699 , CA , 2020-01-09 to 2020-05-14 
55773 , CZ ," 2020-01-09 to 2020-09-24, 2020-10-08 to 2020-10-22 "
33652 , MX , 2020-08-27 to 2020-08-27 
1000106 , DE ," 2020-02-06 to 2020-02-20, 2020-03-05 to 2020-03-19, 2020-04-02 to 2020-08-13, 2020-08-27 to 2020-09-10, 2020-09-24 to 2023-10-14 "
54148 , RU , 2020-04-09 to 2020-04-09 
1000154 , US ," 2020-02-13 to 2023-08-26, 2023-09-09 to 2024-02-17 "
1000109 , US ," 2020-02-13 to 2020-07-16, 2020-07-30 to 2020-08-13, 2020-08-27 to 2020-09-03, 2020-09-17 to 2020-10-01, 2020-10-15 to 2024-03-30 "
1000175 , DE , 2020-02-20 to 2020-06-18 
248 , CN ," 2020-02-20 to 2020-02-20, 2020-03-05 to 2020-05-21, 2020-07-09 to 2020-07-16, 2020-08-13 to 2020-08-13, 2020-08-27 to 2021-02-19, 2021-03-05 to 2021-04-09, 2021-05-14 to 2021-05-14 "
3859 , RU ," 2020-03-05 to 2020-05-07, 2022-12-03 to 2022-12-03 "
21640 , GB , 2020-04-09 to 2020-04-09 
34926 , US ," 2020-04-09 to 2020-07-02, 2020-07-16 to 2020-07-23 "
6782 , US ," 2020-05-14 to 2020-05-14, 2020-05-28 to 2020-06-04, 2021-05-14 to 2021-10-08, 2021-10-22 to 2022-10-01, 2022-11-12 to 2023-01-07, 2023-01-21 to 2023-03-04, 2023-03-25 to 2024-03-30 "
1000560 , DE ," 2020-05-21 to 2020-08-13, 2020-08-27 to 2020-09-10, 2020-09-24 to 2020-11-26 "
